渠道,预警数,6个月违约率,CI_lo,CI_hi
客户,23,0.21739130434782608,0.09663978026586204,0.4190348301626401
关联方被强制执行/失信,50,0.2,0.11243750015776109,0.33037105932225413
共同被告(担保连带),74,0.1891891891891892,0.11617969566734548,0.29287557260608377
股东,63,0.12698412698412698,0.06577324856136736,0.23107034478269667
其他关联方,30,0.1,0.03459988874733416,0.25621082579184085
二跳上下游,90,0.07777777777777778,0.03818481531728899,0.1519386018259203
债务人,112,0.07142857142857142,0.03663590189789057,0.13464525273091849
其他被投企业(共同创投),33,0.06060606060606061,0.016780883087191875,0.19606244808647816
兄弟企业(共同控股股东),50,0.06,0.020614970348973943,0.16217091688838173
无关联触发,1183,0.0507185122569738,0.03960490211063354,0.06474050805371082
供应商,21,0.047619047619047616,0.008455987809826385,0.2266936007412257
同一控制,23,0.043478260869565216,0.007716666143453163,0.20991155070258882
