拒绝比例,模型,拒绝中坏样本,通过样本坏账率,坏样本拦截率,坏账率降幅
0.05,M1 自身,49,0.004172304916553901,0.5697674418604651,0.5471108558601085
0.05,M4 +结构位置,48,0.004285069914298602,0.5581395348837209,0.5348706087211925
0.05,S0 无报表基线,40,0.005187189896256202,0.46511627906976744,0.4369486316098645
0.05,S1 无报表+图谱,39,0.005299954894000902,0.45348837209302323,0.4247083844709486
0.1,M1 自身,65,0.0024997024163790024,0.7558139534883721,0.7286660225942094
0.1,M4 +结构位置,64,0.0026187358647780028,0.7441860465116279,0.7157453570034575
0.1,S0 无报表基线,55,0.0036900369003690036,0.6395348837209303,0.5994593666866901
0.1,S1 无报表+图谱,57,0.0034519700035710033,0.6627906976744186,0.625300697868194
0.2,M1 自身,77,0.001205141938939475,0.8953488372093024,0.8691860465116279
0.2,M4 +结构位置,78,0.0010712372790573112,0.9069767441860465,0.8837209302325582
0.2,S0 无报表基线,72,0.0018746652383502945,0.8372093023255814,0.7965116279069767
0.2,S1 无报表+图谱,74,0.0016068559185859668,0.8604651162790697,0.8255813953488372
