口径,子样本,样本,违约,比较,基线AUC,新模型AUC,ΔAUC,lo,hi
年度(滚动外推),干净企业,12306,42,M2 +一跳关联 vs M1 自身,0.8637960892119405,0.8624933991861584,-0.0012679570904750531,-0.010520805685394555,0.007548381815537016
年度(滚动外推),干净企业,12306,42,M4 +结构位置 vs M1 自身,0.8637960892119405,0.8675255490323984,0.0036625396276622956,-0.015296639363386374,0.021906453859961577
年度(滚动外推),有自身负面记录,8279,227,M2 +一跳关联 vs M1 自身,0.8202219712835731,0.8208008079640925,0.0007838137025830434,-0.0073962736397932575,0.008771486777799587
年度(滚动外推),有自身负面记录,8279,227,M4 +结构位置 vs M1 自身,0.8202219712835731,0.8211279765226468,0.0007590510132041065,-0.009569553394320274,0.011031463922839312
月度动态(滚动外推),干净企业,140106,183,D4 +多层级时序 vs D1 自身(含自身时序),0.8921454614245485,0.8969271897357753,0.004575093885677346,-0.0077753412884535,0.019742037555052577
月度动态(滚动外推),干净企业,140106,183,D3 +一跳关联事件时序 vs D1 自身(含自身时序),0.8921454614245485,0.8958721012403816,0.0035825955300272864,-0.008812077506278071,0.017921425354921312
月度动态(滚动外推),干净企业,140106,183,D1T 自身+关联时序(无静态图谱) vs D1 自身(含自身时序),0.8921454614245485,0.8931666905478731,0.0010323555780874785,-0.011102416841303914,0.012751773623052578
月度动态(滚动外推),有自身负面记录,105491,1289,D4 +多层级时序 vs D1 自身(含自身时序),0.8175587343488372,0.8209459981120099,0.0034141727081584403,-0.005969836287893981,0.013625734434492541
月度动态(滚动外推),有自身负面记录,105491,1289,D3 +一跳关联事件时序 vs D1 自身(含自身时序),0.8175587343488372,0.8141050899987788,-0.002965475908368485,-0.013015982994891151,0.008004920134850825
月度动态(滚动外推),有自身负面记录,105491,1289,D1T 自身+关联时序(无静态图谱) vs D1 自身(含自身时序),0.8175587343488372,0.8209623215122731,0.0034815255296589834,-0.002256321289403279,0.009144400562131052
