关系,key,OR,OR_lo,OR_hi,p,覆盖率
供应商,sup,0.9089417633411517,0.538569394904546,1.5340179686447843,0.7206793879174265,0.02301619162317677
客户,cus,1.5116956477047396,0.940239922180044,2.4304687318433826,0.08807206494376632,0.021577679646728222
股东,holder,1.7384820336015312,1.2789101705278834,2.363199426201937,0.0004146403251360085,0.05128462464873545
对外投资,invest,0.7555891764488,0.3158504270932739,1.8075486198344726,0.5288443608927897,0.011942994781212364
同一控制,ctrl,0.969778349465336,0.6544572305645749,1.437022930101031,0.878440407172367,0.03713368125250903
同一关键人员,person,1.1236900439096804,0.503649363015841,2.507060283409959,0.7757771280916973,0.010303760203398902
联营/合营/子公司,affil,0.9665258110698604,0.4386316176448388,2.1297419198372816,0.9326854738019069,0.006991837280877827
其他关联方,rp_other,0.7543034748188322,0.4882853447469419,1.165248431567489,0.20381759865074855,0.039709621303358755
共同被告(连带),codef,2.121341645974767,1.586591269474678,2.836326195364052,3.880115931484149e-07,0.08774923056336144
债务人(应收),debtor,1.2732924334362385,1.0040740679091984,1.6146952429734445,0.04620149518184546,0.1642579954502877
同业违约率(每+1pp),peer_fin_rate_pp,0.9851593465197083,0.9630060839922983,1.007822228922596,0.19756494083803045,
相对同业营收增速,rel_rev_growth_c,1.0854842201301331,0.8307887268642029,1.4182618926461663,0.5476897126687008,
