,正常组中位数,违约组中位数,违约组均值,正常组均值
资产负债率,0.3907,0.6042,0.6534062135922329,0.40178917574931877
ROA(%),3.79,0.8,-11.919844961240308,3.437632412548111
现金债务总额比,0.1258,0.0256,0.01152739726027397,0.1998542620749719
现金比率,0.6567,0.2578,0.4703988349514563,1.4378314032697546
减值/营收(%),-0.18,-0.01,-12.302348765432097,-0.9646927946078611
经营性欠款被诉(衰减),0.0,0.0,0.9819382418061314,0.13851412792767456
违规处罚(衰减),0.0,0.0,0.5913594624439263,0.17037221368340905
一跳关联风险,0.0,0.11124984889236667,0.6688062427376056,0.20069208828749016
三跳扩散风险,0.015168192675690403,0.18856222526377095,0.928486931233759,0.29741727331640394
集团圈内违约暴露,0.0,0.0,0.5257010759344929,0.2453382643350866
同业违约率,0.029850746268656716,0.04,0.04960303693395865,0.040161789030721
