行业,样本,违约,违约率
房地产,913,42,0.04600219058050383
机械设备,3011,38,0.01262039189637994
医药生物,2667,34,0.01274840644919385
建筑装饰,995,30,0.03015075376884422
电力设备,1805,30,0.01662049861495845
基础化工,2664,29,0.010885885885885885
电子,2331,29,0.012441012441012441
传媒,1024,25,0.0244140625
公用事业,1056,24,0.022727272727272728
计算机,1931,23,0.011910926980838944
通信,784,21,0.026785714285714284
商贸零售,695,20,0.02877697841726619
有色金属,912,19,0.020833333333333332
农林牧渔,691,17,0.024602026049204053
汽车,1490,17,0.011409395973154362
建筑材料,551,16,0.029038112522686024
社会服务,360,14,0.03888888888888889
纺织服饰,723,13,0.017980636237897647
轻工制造,1033,13,0.012584704743465635
交通运输,872,12,0.013761467889908258
综合,236,10,0.0423728813559322
家用电器,536,9,0.016791044776119403
采掘,271,9,0.033210332103321034
食品饮料,776,9,0.011597938144329897
钢铁,265,6,0.022641509433962263
国防军工,646,4,0.006191950464396285
环保,345,2,0.005797101449275362
煤炭,100,1,0.01
石油石化,125,1,0.008
美容护理,84,0,0.0
