关系,key,边数(2023),覆盖率,有风险邻居占比,有风险邻居违约率,无风险邻居违约率,提升倍数
供应商,sup,11304,0.2213301217717115,0.02301619162317677,0.024709302325581394,0.01712094233666621,1.4432209302325583
客户,cus,11304,0.22179847450822962,0.021577679646728222,0.03255813953488372,0.01695900434232571,1.9198143285821454
股东,holder,16934,0.9924394486819216,0.05128462464873545,0.03979125896934116,0.01607955146514334,2.4746498094551446
对外投资,invest,16934,0.06704134885588117,0.011942994781212364,0.014005602240896359,0.01733536482139834,0.8079208245798319
同一控制,ctrl,31920,0.4587180516526161,0.03713368125250903,0.03063063063063063,0.01678132165937044,1.825281181802921
同一关键人员,person,4616,0.33366787100227485,0.010303760203398902,0.025974025974025976,0.0172052460789616,1.5096573367693211
联营/合营/子公司,affil,7374,0.26140773451090593,0.006991837280877827,0.04784688995215311,0.017080483778593808,2.8012608174551494
其他关联方,rp_other,32602,0.5991569650742674,0.039709621303358755,0.02695871946082561,0.016896011147883645,1.595567097160823
共同被告,codef,13098,0.19623979660109728,0.08774923056336144,0.06557377049180328,0.012651729069639517,5.182988833452127
债务人,debtor,6770,0.1642579954502877,0.1642579954502877,0.036456211812627294,0.013529741413817948,2.694523915689512
