关联事件(近3个月),事件乘数,CI_lo,CI_hi,企业-月覆盖
股东,1.106099960232411,0.48465330854753585,2.524396512824264,0.010346217584091011
共同被告(担保连带),1.7092233472623157,0.8732862810793726,3.345345637647852,0.005358371641347411
债务人,1.5529489298466936,0.9004424769507198,2.678294772231161,0.016698086703013475
客户,3.4850021764659784,1.572910156039255,7.721509155078214,0.005590459166846501
供应商,0.6548888317050441,0.3183431468877798,1.3472235419070704,0.005875478935003278
同一控制关联方,1.1775360605281187,0.5100963158266691,2.718292861215734,0.008204497611941515
兄弟企业(共同控股股东),0.8101253942651725,0.35403773792148596,1.8537660936553828,0.01997581403681641
其他被投企业(共同创投),0.9598911956157467,0.4331850792253852,2.12701487564679,0.03988240898708046
客户的客户/供应商的供应商,1.3276288664721225,0.7010189182377345,2.5143378605544395,0.023843939461801245
任一关联方被强制执行/失信,2.2017197767494485,1.2637195667211236,3.835953880105902,0.008261501565572869
