口径,模型,AUC,KS,AP,Top10%捕获率,ΔAUC,ΔAUC_lo,ΔAUC_hi,P(Δ≤0)
滚动外推2019-2023,M1,0.8766659640139329,0.6005393591660683,0.11502768090517589,0.6133828996282528,,,,
滚动外推2019-2023,M1+GRS(特征),0.8717618504945286,0.5930575714125735,0.10963017888147022,0.6096654275092936,-0.004943719711824547,-0.010571044412776193,0.0007635493038981589,0.956
滚动外推2019-2023,M1+GRS(叠加),0.8681977176960896,0.5973141099256285,0.10796681668956405,0.5985130111524164,-0.008369885914081675,-0.01650173083130424,-0.0010630458824915205,0.9885
滚动外推2019-2023,S0,0.8381849308801971,0.5254186456222173,0.0859781190100167,0.550185873605948,,,,
滚动外推2019-2023,S0+GRS(特征),0.8365470546773617,0.5338872579050262,0.08536274296533224,0.49814126394052044,-0.0018195624376487192,-0.009266621762765302,0.006122369718302072,0.686
滚动外推2019-2023,S0+GRS(叠加),0.8199869570086318,0.5264570712116587,0.0824540762581294,0.5092936802973977,-0.018037894574276615,-0.029205266821396438,-0.007391929630792698,1.0
滚动外推2019-2023,GRS单独,0.5510338144308768,0.24167173528143804,0.03147552874600833,0.3159851301115242,,,,
固定切分2022-2023,M1,0.9293160542811667,0.7325103656712102,0.14166450171458975,0.7441860465116279,,,,
固定切分2022-2023,M1+GRS(特征),0.931019569683209,0.7312129281103928,0.1428414101614457,0.7558139534883721,0.0016583244700244188,-0.0034229344718599646,0.007200527021148785,0.276
固定切分2022-2023,M1+GRS(叠加),0.9273359533525938,0.7418086681904015,0.13897611584811626,0.7558139534883721,-0.002015567993522865,-0.010698862479161745,0.005808861800270165,0.677
固定切分2022-2023,S0,0.8948912138835876,0.6541624864535953,0.10234903037511067,0.627906976744186,,,,
固定切分2022-2023,S0+GRS(特征),0.8877615933337859,0.6470165222135894,0.08825764309002287,0.6395348837209303,-0.007173806973475453,-0.016512438805452327,0.0022631296406652422,0.935
固定切分2022-2023,S0+GRS(叠加),0.8837712185101092,0.640047824151951,0.09329559522526969,0.6627906976744186,-0.011223863924949786,-0.02502209541194898,0.0013096010379500072,0.9625
固定切分2022-2023,GRS单独,0.6427608767258308,0.35941534848519135,0.03332089490575643,0.43023255813953487,,,,
