触发口径,分层,被触发企业年,触发后违约,触发后月度违约率(‰),未触发月度违约率(‰),率比RR,RR_lo,RR_hi,触发后违约占全部违约
三条显著渠道(股东/共同被告/债务人),全部年份,1885,51,4.285740908438338,1.3540840782500236,3.165047855800134,2.370461544979542,4.225982045868404,0.09864603481624758
三条显著渠道(股东/共同被告/债务人),无样本外评分(2016-18),479,19,6.520899578287441,2.1272362847306994,3.065432657901924,1.919858984561367,4.894566452899442,0.07661290322580645
三条显著渠道(股东/共同被告/债务人),自身评分中低风险(后80%),890,6,1.0713531461557415,0.3182271677711368,3.3666300512916587,1.4554512387044198,7.787411629364714,0.08955223880597014
三条显著渠道(股东/共同被告/债务人),自身评分高风险(前20%),516,26,7.6790773948144695,3.9280730737446774,1.9549222355718336,1.2950484844086405,2.9510253810136637,0.12871287128712872
全部关系,全部年份,3776,89,3.7236714955923857,1.2886021778511865,2.889698278953562,2.2997738738603046,3.6309466066638194,0.172147001934236
全部关系,无样本外评分(2016-18),1149,35,5.030231558867137,2.0558417767438795,2.4467989782920987,1.711372043289382,3.498260511878027,0.14112903225806453
全部关系,自身评分中低风险(后80%),1747,10,0.8915155544750785,0.30633549341478555,2.9102587641319944,1.4862593615277755,5.698605703314725,0.14925373134328357
全部关系,自身评分高风险(前20%),880,44,7.683767843209253,3.7206980402047765,2.0651414761909463,1.4786040434796992,2.8843484741509675,0.21782178217821782
供应链(供应商/客户),全部年份,904,22,3.9502636950340384,1.4123699622454025,2.796904352705053,1.8247713382559638,4.286933816955411,0.0425531914893617
供应链(供应商/客户),无样本外评分(2016-18),346,9,4.41649469577274,2.2022106681197586,2.0054823817303236,1.0308293876918488,3.9016733820873917,0.036290322580645164
供应链(供应商/客户),自身评分中低风险(后80%),384,1,0.4132105184561709,0.3386920480645554,1.22001836422629,0.16932645323290474,8.790385557784466,0.014925373134328358
供应链(供应商/客户),自身评分高风险(前20%),174,12,10.797587725781181,4.035671269125932,2.6755369815143,1.4929483325099107,4.794873327877294,0.0594059405940594
三条渠道+1个月反应期,全部年份,1562,43,4.203035032450537,1.370681851606526,3.0663826383374913,2.24417523619819,4.189825434767079,0.08317214700193423
三条渠道+1个月反应期,无样本外评分(2016-18),385,17,6.804896171701363,2.1375643110497804,3.1834813748174,1.9453153149341265,5.209722858811948,0.06854838709677419
三条渠道+1个月反应期,自身评分中低风险(后80%),746,6,1.2486240351153073,0.3169126353356809,3.9399629295081184,1.703312760486406,9.113598069602489,0.08955223880597014
三条渠道+1个月反应期,自身评分高风险(前20%),431,20,6.832441047397779,4.020829159807568,1.6992617134036032,1.0708699366990575,2.6963968934826954,0.09900990099009901
股东+共同被告,全部年份,1129,32,4.8920140632847815,1.3876859150728582,3.5253035360151608,2.4651100256503042,5.041464637166657,0.061895551257253385
股东+共同被告,无样本外评分(2016-18),307,15,8.524796011725826,2.1414348343740155,3.9808804241375837,2.361737182629475,6.710064552414711,0.06048387096774194
股东+共同被告,自身评分中低风险(后80%),530,3,0.9800212505634618,0.329512700109612,2.974153197243866,0.9343861685290578,9.466736065454535,0.04477611940298507
股东+共同被告,自身评分高风险(前20%),292,14,8.136970345051463,4.04553681263521,2.01134502586596,1.1686128399272027,3.4618041791563314,0.06930693069306931
仅债务人,全部年份,829,21,3.666768969532868,1.4158609817148828,2.5897803646596,1.6734804899065954,4.007792369034884,0.04061895551257253
仅债务人,无样本外评分(2016-18),182,5,4.154382660442771,2.221986978072174,1.8696701202304837,0.7712454460835994,4.532495298654584,0.020161290322580645
仅债务人,自身评分中低风险(后80%),384,4,1.4980927771625447,0.3237122328342728,4.62785346122371,1.6844865175709804,12.714276686193665,0.05970149253731343
仅债务人,自身评分高风险(前20%),263,12,6.4742271695972775,4.100306080559383,1.5789619219631605,0.88105998338971,2.8296833337246707,0.0594059405940594
