,mean_abs_shap
impair_to_rev,0.24818502947208496
sw_l1_c,0.21815921843875732
fund_n,0.19085330202016515
cfo_to_due,0.18767211909404186
top1_stake,0.1675894238925921
cash_ratio,0.1617266398431985
firm_age,0.1605531768445661
tang_lev,0.15499972421673502
log_ta,0.14606774663835792
d_roa,0.14412571095122054
fin_exp_ratio,0.13018791107990244
d_cfo_to_debt,0.1291337297186142
wc_to_loan,0.12900206150437096
inst_ratio,0.12115631782582052
lev,0.12087493633856311
quick_ratio,0.11429398719028426
cur_ratio,0.10997004056627101
cfo_to_debt,0.10720787549304063
period_exp_ratio,0.09710152568212352
rel_rev_growth,0.09467993495679472
peer_loss_rate,0.09288008006013236
top10_nonfin,0.08563488229942615
pagerank,0.08332400942252921
int_debt_ratio,0.08181254495491123
sell_exec,0.08056105451082869
rev_growth,0.07768295458167743
own_viol,0.07760678433888617
nb_codef_n,0.07655417377197214
d_cur_ratio,0.07412190789473545
hop1_all,0.06984617538283343
peer_rev_growth,0.06889267652880401
roe,0.06879938624925969
int_cover,0.06740799938350464
cfo_to_intdebt,0.06675883071936385
ltloan_to_ta,0.0627711584438581
log_rev,0.06107198818107023
d_gross_margin,0.05993806954970307
own_def_amt12,0.059357133886445264
roa,0.058905592076522406
peer_fin_rate,0.056951088828908245
net_margin,0.055155278992692396
d_lev,0.05091717998305338
hop2_all,0.04707379100861072
top1_person,0.046428900446452724
hop2_holder,0.043584180224282815
sell_person,0.041337126652958564
peer_roa,0.040464019208783224
eq_mult,0.04012171898080012
ebit_margin,0.038088944228572404
cfo_to_cl,0.03728426892101465
nb_affil_n,0.035526062561963945
cfo_to_profit,0.03433135549008639
gross_margin,0.03319457936479706
rel_d_roa,0.0320599972268275
peer_d_roa,0.031849458119332354
group_listed,0.03155557450367187
rel_roa,0.031278576283500066
hop2_cus,0.031095980340063258
nb_holder_n,0.03003651334160419
ppr3,0.030014668859304414
kcore,0.026747690718071315
group_risk,0.024153330465651917
nb_rp_other_n,0.023876041410142816
sell_major,0.022841869779064515
deg,0.020650994467840893
nb_ctrl_n,0.020443735358974122
peer_n,0.020220662362453092
nb_debtor_fin,0.018743608894206634
nb_codef_risky,0.01852405720862449
own_def_n12,0.013989104115449829
nb_holder_fin,0.013270463333542043
nb_sup_n,0.012835962432682186
hop2_rp_other,0.012167182994840252
own_other_def,0.011890619545951876
own_trade,0.011781219900592417
nb_person_n,0.010386146876188695
group_size,0.010102750639488005
hop2_sup,0.009204628019164086
hop2_ctrl,0.007607920827820299
nb_codef_trade,0.007562154554455864
deg_listed,0.007289627192265705
nb_debtor_trade,0.006963174099907359
nb_cus_n,0.005968749489206868
loss_2y,0.004744293504037457
board_c,0.0043012297131030785
nb_codef_fin,0.004128366963660994
hop2_person,0.004036238855772876
hop2_invest,0.00360584418862507
nb_debtor_n,0.003414289467914702
nb_rp_other_risky,0.0027843890242515547
hop2_debtor,0.002017500442736111
nb_debtor_risky,0.0018696496224987055
group_fin,0.0011759818722973186
nb_sup_risky,0.0011337126360181418
own_viol_severe,0.0009298877885012888
hop2_codef,0.000795722244369864
soe,0.0006408701882800007
nb_rp_other_trade,0.0005907980488044356
nb_invest_n,0.00041836337953333986
nb_holder_risky,0.00035322047430872555
own_fin_old,0.00033579114190690235
own_sec_fraud,0.0002627141616961719
hop2_affil,0.0002622693299015839
nb_cus_trade,8.351781090235028e-05
nb_sup_fin,0.0
own_probe12,0.0
loss,0.0
nb_sup_dist,0.0
nb_ctrl_fin,0.0
nb_invest_dist,0.0
nb_invest_risky,0.0
nb_invest_trade,0.0
nb_holder_dist,0.0
nb_invest_fin,0.0
nb_cus_fin,0.0
nb_holder_trade,0.0
nb_cus_risky,0.0
nb_cus_dist,0.0
nb_sup_trade,0.0
nb_creditor_fin,0.0
nb_creditor_risky,0.0
nb_creditor_trade,0.0
nb_affil_dist,0.0
nb_rp_other_fin,0.0
nb_ctrl_trade,0.0
nb_ctrl_risky,0.0
nb_person_fin,0.0
nb_creditor_n,0.0
nb_debtor_dist,0.0
nb_codef_dist,0.0
nb_rp_other_dist,0.0
nb_ctrl_dist,0.0
nb_person_dist,0.0
nb_person_risky,0.0
nb_person_trade,0.0
nb_affil_fin,0.0
nb_affil_risky,0.0
nb_affil_trade,0.0
hop2_creditor,0.0
nb_creditor_dist,0.0
